user_id,user_idx
23815,1147
23869,1148
23880,1149
23885,1150
23901,1151
23903,1152
23905,1153
23909,1154
23936,1155
23954,1156
23955,1157
23960,1158
23975,1159
23992,1160
23997,1161
24010,1162
24020,1163
24048,1164
24071,1165
24129,1166
24130,1167
24151,1168
24187,1169
24196,1170
24222,1171
24247,1172
24255,1173
24263,1174
24305,1175
24306,1176
24310,1177
24333,1178
24335,1179
24342,1180
24343,1181
24360,1182
24381,1183
24400,1184
24410,1185
24440,1186
24442,1187
24457,1188
24458,1189
24462,1190
24497,1191
24518,1192
24539,1193
24540,1194
24587,1195
24596,1196
24603,1197
24606,1198
24611,1199
24613,1200
24627,1201
24630,1202
24631,1203
24653,1204
24680,1205
24685,1206
24689,1207
24696,1208
24705,1209
24753,1210
24764,1211
24774,1212
24823,1213
24851,1214
24860,1215
24866,1216
24933,1217
25004,1218
25034,1219
25035,1220
25038,1221
25063,1222
25093,1223
25094,1224
25122,1225
25143,1226
25148,1227
25149,1228
25157,1229
25180,1230
25200,1231
25239,1232
25261,1233
25263,1234
25266,1235
25304,1236
25402,1237
25435,1238
25443,1239
25477,1240
25478,1241
25516,1242
25556,1243
25571,1244
25597,1245
25634,1246
25658,1247
25663,1248
25679,1249
25699,1250
25712,1251
25714,1252
25736,1253
25737,1254
25804,1255
25818,1256
25864,1257
25869,1258
25870,1259
25874,1260
25921,1261
25979,1262
25980,1263
25981,1264
26003,1265
26042,1266
26071,1267
26079,1268
26087,1269
26123,1270
26180,1271
26186,1272
26201,1273
26220,1274
26221,1275
26272,1276
26292,1277
26358,1278
26386,1279
26388,1280
26420,1281
26449,1282
26455,1283
26462,1284
26496,1285
26502,1286
26515,1287
26526,1288
26547,1289
26571,1290
26572,1291
26573,1292
26577,1293
26583,1294
26594,1295
26602,1296
26603,1297
26612,1298
26632,1299
26665,1300
26694,1301
26697,1302
26698,1303
26715,1304
26733,1305
26757,1306
26760,1307
26772,1308
26773,1309
26786,1310
26788,1311
26791,1312
26839,1313
26869,1314
26871,1315
26879,1316
26905,1317
26922,1318
26923,1319
26924,1320
27024,1321
27025,1322
27026,1323
27034,1324
27053,1325
27055,1326
27056,1327
27117,1328
27121,1329
27129,1330
27169,1331
27203,1332
27212,1333
27214,1334
27228,1335
27230,1336
27256,1337
27257,1338
27259,1339
27273,1340
27284,1341
27286,1342
27315,1343
27316,1344
27318,1345
27320,1346
27332,1347
27400,1348
27408,1349
27436,1350
27443,1351
27446,1352
27450,1353
27511,1354
27542,1355
27563,1356
27579,1357
27585,1358
27586,1359
27601,1360
27669,1361
27681,1362
27688,1363
27714,1364
27796,1365
27800,1366
27808,1367
27809,1368
27868,1369
27869,1370
27925,1371
27958,1372
27959,1373
28002,1374
28003,1375
28013,1376
28016,1377
28037,1378
28123,1379
28128,1380
28173,1381
28176,1382
28190,1383
28200,1384
28206,1385
28215,1386
28222,1387
28258,1388
28300,1389
28395,1390
28428,1391
28464,1392
28469,1393
28479,1394
28486,1395
28493,1396
28569,1397
28575,1398
28591,1399
28597,1400
28613,1401
28614,1402
28705,1403
28713,1404
28735,1405
28752,1406
28769,1407
28777,1408
28796,1409
28798,1410
28820,1411
28832,1412
28853,1413
28867,1414
28912,1415
28919,1416
28946,1417
28947,1418
28988,1419
28997,1420
29047,1421
29051,1422
29105,1423
29137,1424
29143,1425
29178,1426
29181,1427
29182,1428
29208,1429
29215,1430
29232,1431
29242,1432
29268,1433
29279,1434
29315,1435
29375,1436
29383,1437
29401,1438
29429,1439
29454,1440
